model,layers,neurons,neurons*layer,max scores,mean of the scores,median of the scores,variance of the scores
glove,1,300,300,-0.05246391,-0.05246391,-0.05246391,0.0
ETM,1,200,200,-0.043638864,-0.043638864,-0.043638864,0.0
word2vec,1,300,300,0.051054432,0.051054432,0.051054432,0.0
lm_1b,2,1024,2048,0.156165105,0.088765785,0.088765785,0.0045426683364624
skip-thoughts,1,2400,2400,0.037015404,0.037015404,0.037015404,0.0
distilbert-base-uncased,7,768,5376,0.181215896,0.10465441771428571,0.084724675,0.0036788448512933224
bert-base-uncased,13,768,9984,0.191355401,0.07900031607692308,0.088676576,0.006073840151283935
bert-base-multilingual-cased,13,768,9984,0.168158708,0.06885355184615385,0.045464097,0.0029369377908444764
bert-large-uncased,25,1024,25600,0.119638338,0.03591280596,0.032869639,0.0016781628036756343
bert-large-uncased-whole-word-masking,25,1024,25600,0.130631849,0.02772638244,0.02890829,0.0023083148944495675
distilroberta-base,7,768,5376,0.138851435,0.09105882042857143,0.092685501,0.0016854585248725284
roberta-base,13,768,9984,0.185613029,0.08688656307692308,0.086644602,0.002025742614979216
roberta-large,25,1024,25600,0.082705204,0.0133960484,0.011194519,0.0011735434949883934
xlm-mlm-enfr-1024,7,1024,7168,0.023279625,-0.00827471757142857,-0.002591383,0.0008985335208038022
xlm-clm-enfr-1024,7,1024,7168,0.110198694,0.0069934484285714285,-0.011253344,0.00313624584354689
xlm-mlm-xnli15-1024,13,1024,13312,0.085688564,0.021224432307692307,0.011044053,0.001985248645641469
xlm-mlm-100-1280,17,1280,21760,0.080374941,0.006858217647058824,-0.000490958,0.001498565647519703
xlm-mlm-en-2048,13,2048,26624,0.301924214,0.051884859230769236,0.03264513,0.007001918622490264
xlm-roberta-base,13,768,9984,0.105865522,0.028986889846153847,0.039642617,0.003274231161724113
xlm-roberta-large,25,1024,25600,0.130581599,0.0044004393199999995,-0.008798714,0.0015387716582326986
transfo-xl-wt103,19,1024,19456,0.107809068,0.03986380742105263,0.039764313,0.0026704048094174193
xlnet-base-cased,13,768,9984,0.26188719,0.09261062053846153,0.076706627,0.003800951557687792
xlnet-large-cased,25,1024,25600,0.083229983,0.025880585879999998,0.019390951,0.0011659931626149438
ctrl,49,1280,62720,0.240147975,0.14337579420408164,0.144632978,0.0027588202964956518
t5-small,7,512,3584,0.185176345,0.07545979842857142,0.053998588,0.005970413858429145
t5-base,13,768,9984,0.20703879,0.08904975207692307,0.086187713,0.0037812894629877026
t5-large,25,1024,25600,0.118312511,0.01445343996,0.016445598,0.0019443496125163343
t5-3b,25,1024,25600,0.124180976,0.0168355066,0.003087197,0.0026607442901947997
t5-11b,25,1024,25600,0.090548159,0.0277553854,0.024302135,0.0011554226762804573
albert-base-v1,13,768,9984,0.162714458,0.1043001353076923,0.115711822,0.0012599377467433558
albert-base-v2,13,768,9984,0.324841874,0.19567622338461538,0.176817691,0.005892876838854982
albert-large-v1,25,1024,25600,0.11483048,0.02803260912,0.027765885,0.001484394790773276
albert-large-v2,25,1024,25600,0.111152644,0.037464733119999996,0.02195328,0.0013655108250727026
albert-xlarge-v1,25,2048,51200,0.157331092,0.09785640912,0.110301275,0.0015301133414623925
albert-xlarge-v2,25,2048,51200,0.191378486,0.06721439568,0.070449584,0.002987873396726815
albert-xxlarge-v1,13,4096,53248,0.307647083,0.20708820453846152,0.203970891,0.0019380833251260226
albert-xxlarge-v2,13,4096,53248,0.239119733,0.1741182083076923,0.18303473,0.0024333828158822277
openaigpt,13,768,9984,0.234574528,0.15334205023076922,0.148529446,0.0038102140479676213
distilgpt2,7,768,5376,0.256600888,0.13428063057142858,0.146704221,0.008114030299706289
gpt2,13,768,9984,0.194981689,0.09608586576923077,0.090243338,0.0026546801426439543
gpt2-medium,25,1024,25600,0.089328088,0.02432551548,0.022706739,0.0007943531110502454
gpt2-large,37,1280,47360,0.24147574,0.12471902097297297,0.124680824,0.0032409592843327035
gpt2-xl,49,1600,78400,0.318994701,0.1903561908367347,0.217705863,0.006301746457448931
