model,layers,neurons,neurons*layer,max scores,mean of the scores,median of the scores,variance of the scores
glove,1,300,300,0.128972632,0.128972632,0.128972632,0.0
ETM,1,200,200,0.078775245,0.078775245,0.078775245,0.0
word2vec,1,300,300,0.116959344,0.116959344,0.116959344,0.0
lm_1b,2,1024,2048,0.593996587,0.40281761800000004,0.40281761800000004,0.03654939818790296
skip-thoughts,1,2400,2400,0.543269646,0.543269646,0.543269646,0.0
distilbert-base-uncased,7,768,5376,0.611438679,0.40717117171428574,0.480133776,0.03118349147644385
bert-base-uncased,13,768,9984,0.571103345,0.39259843246153847,0.430339975,0.019727066416113017
bert-base-multilingual-cased,13,768,9984,0.517016765,0.40270740015384615,0.418677761,0.015250943957475182
bert-large-uncased,25,1024,25600,0.724263439,0.5101635357200001,0.551416781,0.019043709885246167
bert-large-uncased-whole-word-masking,25,1024,25600,0.74473395,0.48041247304,0.56036812,0.04462526278015064
distilroberta-base,7,768,5376,0.447455885,0.2452958197142857,0.293388667,0.034449000129390984
roberta-base,13,768,9984,0.517972718,0.21299437876923077,0.112031807,0.03720403386436708
roberta-large,25,1024,25600,0.461793453,0.1436955576,0.110348958,0.02068551780589866
xlm-mlm-enfr-1024,7,1024,7168,0.514789869,0.36254470057142857,0.440805056,0.033145384011909224
xlm-clm-enfr-1024,7,1024,7168,0.53740213,0.326754507,0.384184263,0.03232670628772361
xlm-mlm-xnli15-1024,13,1024,13312,0.348602579,0.19887753846153847,0.175773244,0.008240405871763463
xlm-mlm-100-1280,17,1280,21760,0.601169116,0.35297875411764706,0.379885126,0.023058974392749242
xlm-mlm-en-2048,13,2048,26624,0.783953371,0.5244177721538461,0.516463178,0.030792155109307367
xlm-roberta-base,13,768,9984,0.576301408,0.45825676484615385,0.487826239,0.019501948149774066
xlm-roberta-large,25,1024,25600,0.524658093,0.24862472132,0.27120751,0.028347920553443418
transfo-xl-wt103,19,1024,19456,0.623389437,0.4033107294210526,0.385113476,0.036949898848871524
xlnet-base-cased,12,768,9216,0.563875548,0.38056639625,0.446581006,0.029704218710874954
xlnet-large-cased,25,1024,25600,0.808292172,0.59020470996,0.63536078,0.021386282789097932
ctrl,49,1280,62720,0.832965892,0.6412669223469388,0.705532162,0.03290374469589182
t5-small,6,512,3072,0.455462131,0.416083216,0.42847592,0.0010667334788936683
t5-base,12,768,9216,0.577513174,0.5373484076666667,0.5432304754999999,0.0007931104901944271
t5-large,24,1024,24576,0.705896205,0.5966719424166667,0.597109164,0.0037925557586165437
t5-3b,24,1024,24576,0.753694581,0.6479512825416667,0.6369395705,0.006258060497625598
t5-11b,24,1024,24576,0.688700074,0.565732770875,0.5919821624999999,0.01115396477967774
albert-base-v1,13,768,9984,0.582418573,0.428665767,0.451292651,0.01784600584228469
albert-base-v2,13,768,9984,0.49933232,0.2799175743076923,0.256898258,0.01867691629855823
albert-large-v1,25,1024,25600,0.506682971,0.31780379444,0.33221461,0.023274142124291873
albert-large-v2,25,1024,25600,0.466979251,0.19949022556,0.177725963,0.01791441070525947
albert-xlarge-v1,25,2048,51200,0.709255434,0.50964752404,0.573583509,0.031517353692875526
albert-xlarge-v2,25,2048,51200,0.719402247,0.5453326642799999,0.554927769,0.024686961416934404
albert-xxlarge-v1,13,4096,53248,0.715620769,0.509047123,0.49223615,0.030624295269454815
albert-xxlarge-v2,13,4096,53248,0.75781741,0.539435133923077,0.529200572,0.03661172536193162
openaigpt,13,768,9984,0.818538804,0.41633790800000003,0.536153365,0.09547414337009144
distilgpt2,7,768,5376,0.806830902,0.5349332654285714,0.544706092,0.05378115354832992
gpt2,13,768,9984,0.826374627,0.567586283,0.557247156,0.03848380225413693
gpt2-medium,25,1024,25600,0.98645822,0.7219364232,0.744434047,0.04261103281804993
gpt2-large,37,1280,47360,1.006072455,0.8211649782162163,0.835343875,0.030113281819027102
gpt2-xl,49,1600,78400,1.044402629,0.8632190904285715,0.838891076,0.029287552320037602
