model,layers,neurons,neurons*layer,max scores,mean of the scores,median of the scores,variance of the scores
glove-untrained,1,300,300,-0.015890569,-0.015890569,-0.015890569,0.0
ETM-untrained,1,200,200,0.030955383,0.030955383,0.030955383,0.0
word2vec-untrained,1,300,300,-0.041763885,-0.041763885,-0.041763885,0.0
lm_1b-untrained,2,1024,2048,0.01433711,-0.004995896999999999,-0.004995896999999999,0.00037376515966204896
skip-thoughts-untrained,1,2400,2400,0.041258794,0.041258794,0.041258794,0.0
distilbert-base-uncased-untrained,7,768,5376,0.031114794,0.0030377048571428576,-0.007681151,0.000275330192051229
bert-base-uncased-untrained,13,768,9984,0.065757637,0.01203028823076923,0.014456929,0.0009430504029693266
bert-base-multilingual-cased-untrained,13,768,9984,0.03528083,-0.01593270092307692,-0.008450936,0.0013775371372058865
bert-large-uncased-untrained,25,1024,25600,0.07108304,0.01205225168,0.011033351,0.0011030823990367427
bert-large-uncased-whole-word-masking-untrained,25,1024,25600,0.08568843,0.01083506524,0.01264713,0.0011675326257255519
distilroberta-base-untrained,7,768,5376,0.06986358,0.013977170428571427,0.002348026,0.001047366231441266
roberta-base-untrained,13,768,9984,0.06250849,0.016356516076923077,0.00909901,0.0007370985905226739
roberta-large-untrained,25,1024,25600,0.064111839,0.012292337359999999,0.011383499,0.000920354416775115
xlm-mlm-enfr-1024-untrained,7,1024,7168,0.050401153,0.0038661281428571427,0.016522305,0.0009131649213399998
xlm-clm-enfr-1024-untrained,7,1024,7168,0.033554855,0.002555042857142858,0.006647226,0.0006770881085603629
xlm-mlm-xnli15-1024-untrained,13,1024,13312,0.031067468,-0.018301180307692306,-0.020294273,0.0008370015361681303
xlm-mlm-100-1280-untrained,17,1280,21760,0.056343166,-0.018216876529411764,-0.023187737,0.0015466156317195635
xlm-mlm-en-2048-untrained,13,2048,26624,0.197221801,0.09013646492307692,0.099624208,0.003767980736833763
xlm-roberta-base-untrained,13,768,9984,0.05368517,-0.014303272846153847,-0.018813561,0.0011262619547003738
xlm-roberta-large-untrained,25,1024,25600,0.078208068,0.012166256720000001,0.016964466,0.0008740885377171418
transfo-xl-wt103-untrained,19,1024,19456,0.077048015,0.010901995315789474,0.00194803,0.00123174371040628
xlnet-base-cased-untrained,13,768,9984,0.058885337,0.031097489,0.043597049,0.0009572342001091162
xlnet-large-cased-untrained,25,1024,25600,0.087507296,0.01335995728,0.022963771,0.0017907334040293396
ctrl-untrained,49,1280,62720,0.146984561,0.056629513346938776,0.050170005,0.0015868968275615652
t5-small-untrained,7,512,3584,0.151274483,0.07362326828571428,0.04460943,0.003870099960353291
t5-base-untrained,13,768,9984,0.108313015,0.04755903669230769,0.041362256,0.0009795492953021804
t5-large-untrained,25,1024,25600,0.092238203,0.0252287462,0.018155903,0.0014328883088805663
t5-3b-untrained,25,1024,25600,0.097690767,0.03914481584,0.049759919,0.0012453808531592216
t5-11b-untrained,25,1024,25600,0.070448834,0.01683387624,0.017303879,0.0012768957031726812
albert-base-v1-untrained,13,768,9984,0.068742929,0.019469622307692308,0.017432318,0.00092216249233681
albert-base-v2-untrained,13,768,9984,0.113618351,0.04495665330769231,0.038860147,0.0014876886419607945
albert-large-v1-untrained,25,1024,25600,0.059411338,0.00104153792,-8.86e-05,0.000730210284943903
albert-large-v2-untrained,25,1024,25600,0.101599752,0.01514249,0.017144224,0.0014272720994818757
albert-xlarge-v1-untrained,25,2048,51200,0.237546636,0.12352613348,0.110491332,0.007379648632667316
albert-xlarge-v2-untrained,25,2048,51200,0.26178733,0.10021306152,0.109039476,0.0058761680396048985
albert-xxlarge-v1-untrained,13,4096,53248,0.428874114,0.27019532707692306,0.286107177,0.01699904719302867
albert-xxlarge-v2-untrained,13,4096,53248,0.474477628,0.3315759942307692,0.385088922,0.02374913450067393
openaigpt-untrained,13,768,9984,0.101863559,0.006557076,0.001281229,0.0021053438749714885
distilgpt2-untrained,7,768,5376,0.397150006,0.22679067357142857,0.272524823,0.021912430917853994
gpt2-untrained,13,768,9984,0.445060268,0.3046597866153846,0.355178714,0.013687005991389294
gpt2-medium-untrained,25,1024,25600,0.196118235,0.1346336332,0.142430753,0.001996729257934838
gpt2-large-untrained,37,1280,47360,0.44530299,0.3635543973243243,0.391887317,0.007867626299955252
gpt2-xl-untrained,49,1600,78400,0.638295213,0.4968969859387755,0.508824063,0.010106525765596727
