model,layers,neurons,neurons*layer,max scores,mean of the scores,median of the scores,variance of the scores
glove-untrained,1,300,300,0.114336562,0.114336562,0.114336562,0.0
ETM-untrained,1,200,200,0.06177122,0.06177122,0.06177122,0.0
word2vec-untrained,1,300,300,0.105187819,0.105187819,0.105187819,0.0
lm_1b-untrained,2,1024,2048,0.292761913,0.2169221215,0.2169221215,0.005751673974763471
skip-thoughts-untrained,1,2400,2400,0.543320387,0.543320387,0.543320387,0.0
distilbert-base-uncased-untrained,7,768,5376,0.087718801,0.061066913,0.061998815,0.0003102725462263323
bert-base-uncased-untrained,13,768,9984,0.164552469,0.08708781053846154,0.107640796,0.0022614868659873912
bert-base-multilingual-cased-untrained,13,768,9984,0.116103735,0.078613474,0.080673804,0.0005089467816154695
bert-large-uncased-untrained,25,1024,25600,0.277743394,0.17021384256,0.166270536,0.0045771913788580365
bert-large-uncased-whole-word-masking-untrained,25,1024,25600,0.26742657,0.16569947116,0.186247837,0.00585209838298312
distilroberta-base-untrained,7,768,5376,0.092455417,0.05196191785714286,0.054481733,0.0009132590360629944
roberta-base-untrained,13,768,9984,0.165520337,0.1044257963076923,0.096982718,0.0012827686027472483
roberta-large-untrained,25,1024,25600,0.284154451,0.16019867984,0.163851456,0.005367741824176604
xlm-mlm-enfr-1024-untrained,7,1024,7168,0.144403614,0.088394733,0.090837592,0.00275878507780964
xlm-clm-enfr-1024-untrained,7,1024,7168,0.156004793,0.08599897528571429,0.087279102,0.003562579427702855
xlm-mlm-xnli15-1024-untrained,13,1024,13312,0.179962858,0.10369715515384616,0.091680876,0.0032926072674204416
xlm-mlm-100-1280-untrained,17,1280,21760,0.311571412,0.20218777658823528,0.220637336,0.005760775589043507
xlm-mlm-en-2048-untrained,13,2048,26624,0.513802451,0.34300824946153846,0.367818842,0.023154504234453963
xlm-roberta-base-untrained,13,768,9984,0.099846494,0.05773866638461538,0.045724637,0.0005618974818569915
xlm-roberta-large-untrained,25,1024,25600,0.316922466,0.19679184376,0.223623617,0.006623954598666067
transfo-xl-wt103-untrained,19,1024,19456,0.286325542,0.227624865,0.236372605,0.0035924533654115337
xlnet-base-cased-untrained,13,768,9984,0.555107812,0.4834656833846154,0.516290517,0.00859482949202281
xlnet-large-cased-untrained,25,1024,25600,0.571023346,0.48670120276,0.513523765,0.007660124394049826
ctrl-untrained,49,1280,62720,0.275003388,0.18432424675510203,0.186688167,0.0028838140150316467
t5-small-untrained,6,512,3072,0.41896451,0.37896901116666665,0.3952187075,0.001293097336917822
t5-base-untrained,13,768,9984,0.45417934,0.3735180576153846,0.424308148,0.02941557037297927
t5-large-untrained,24,1024,24576,0.568733725,0.5159054134583333,0.5107884665,0.00036279133504150377
t5-3b-untrained,25,1024,25600,0.559389561,0.48750531852,0.499626706,0.01043442886961081
t5-11b-untrained,25,1024,25600,0.601741219,0.51320718688,0.518372843,0.004759937810782204
albert-base-v1-untrained,13,768,9984,0.218136346,0.14503839576923078,0.172157039,0.004945014829185665
albert-base-v2-untrained,13,768,9984,0.179417285,0.12086637330769232,0.124828337,0.0021946322822599903
albert-large-v1-untrained,25,1024,25600,0.273463781,0.20740016604,0.235081399,0.004909129591924267
albert-large-v2-untrained,25,1024,25600,0.33303089,0.23592593968,0.272303336,0.006429417698628573
albert-xlarge-v1-untrained,25,2048,51200,0.377528489,0.29305810412,0.320643967,0.006542264448351827
albert-xlarge-v2-untrained,25,2048,51200,0.425481123,0.32043267836,0.349233904,0.00897578302217615
albert-xxlarge-v1-untrained,13,4096,53248,0.490375755,0.38757977615384615,0.428665546,0.015650743162983823
albert-xxlarge-v2-untrained,13,4096,53248,0.526432725,0.40143416723076925,0.450810096,0.019961075078080547
openaigpt-untrained,13,768,9984,0.17258354,0.12157577507692308,0.141370596,0.0016645875884309402
distilgpt2-untrained,7,768,5376,0.498963439,0.4091010387142857,0.466987118,0.026441095480884698
gpt2-untrained,13,768,9984,0.534538573,0.4639894313846154,0.514836527,0.021361032836054433
gpt2-medium-untrained,25,1024,25600,0.59035373,0.53861587124,0.570069143,0.013894679414358168
gpt2-large-untrained,37,1280,47360,0.704310723,0.6276308207297298,0.644370665,0.010111390655748462
gpt2-xl-untrained,49,1600,78400,0.766931764,0.7117554944693878,0.728505772,0.011482334408676128
