layer,benchmark,model,score,error,neurons
projection,Pereira2018-encoding,glove,0.128972632,0.053678963,300.0
projection,Pereira2018-encoding,glove-untrained,0.114336562,0.084720104,300.0
projection,Pereira2018-encoding,ETM,0.078775245,0.053719318,200.0
projection,Pereira2018-encoding,ETM-untrained,0.06177122,0.130168523,200.0
projection,Pereira2018-encoding,word2vec,0.116959344,0.040668094,300.0
projection,Pereira2018-encoding,word2vec-untrained,0.105187819,0.029524836,300.0
lstm/lstm_0/control_dependency,Pereira2018-encoding,lm_1b,0.211638649,0.146944801,1024.0
lstm/lstm_1/control_dependency,Pereira2018-encoding,lm_1b,0.593996587,0.116213163,1024.0
lstm/lstm_0/control_dependency,Pereira2018-encoding,lm_1b-untrained,0.14108233,0.15271226,1024.0
lstm/lstm_1/control_dependency,Pereira2018-encoding,lm_1b-untrained,0.292761913,0.094086435,1024.0
encoder,Pereira2018-encoding,skip-thoughts,0.543269646,0.129803154,2400.0
encoder,Pereira2018-encoding,skip-thoughts-untrained,0.543320387,0.12944007,2400.0
embeddings,Pereira2018-encoding,distilbert-base-uncased,0.037306627,0.071380517,768.0
transformer.layer.0,Pereira2018-encoding,distilbert-base-uncased,0.289013681,0.095007689,768.0
transformer.layer.1,Pereira2018-encoding,distilbert-base-uncased,0.421485728,0.084827587,768.0
transformer.layer.2,Pereira2018-encoding,distilbert-base-uncased,0.483408428,0.074754152,768.0
transformer.layer.3,Pereira2018-encoding,distilbert-base-uncased,0.480133776,0.047227005,768.0
transformer.layer.4,Pereira2018-encoding,distilbert-base-uncased,0.527411283,0.069451819,768.0
transformer.layer.5,Pereira2018-encoding,distilbert-base-uncased,0.611438679,0.07996751,768.0
embeddings,Pereira2018-encoding,distilbert-base-uncased-untrained,0.027170106,0.048039146,768.0
transformer.layer.0,Pereira2018-encoding,distilbert-base-uncased-untrained,0.058567053,0.066715421,768.0
transformer.layer.1,Pereira2018-encoding,distilbert-base-uncased-untrained,0.063184253,0.077468583,768.0
transformer.layer.2,Pereira2018-encoding,distilbert-base-uncased-untrained,0.061998815,0.029435714,768.0
transformer.layer.3,Pereira2018-encoding,distilbert-base-uncased-untrained,0.052612665,0.037375671,768.0
transformer.layer.4,Pereira2018-encoding,distilbert-base-uncased-untrained,0.087718801,0.056389398,768.0
transformer.layer.5,Pereira2018-encoding,distilbert-base-uncased-untrained,0.076216698,0.021354059,768.0
embedding,Pereira2018-encoding,bert-base-uncased,0.013642146,0.08250502,768.0
encoder.layer.0.output,Pereira2018-encoding,bert-base-uncased,0.26581862,0.102443198,768.0
encoder.layer.1.output,Pereira2018-encoding,bert-base-uncased,0.289102682,0.068305247,768.0
encoder.layer.2.output,Pereira2018-encoding,bert-base-uncased,0.342280454,0.180509329,768.0
encoder.layer.3.output,Pereira2018-encoding,bert-base-uncased,0.364508486,0.064682733,768.0
encoder.layer.4.output,Pereira2018-encoding,bert-base-uncased,0.495500076,0.132996901,768.0
encoder.layer.5.output,Pereira2018-encoding,bert-base-uncased,0.453755129,0.110634526,768.0
encoder.layer.6.output,Pereira2018-encoding,bert-base-uncased,0.430339975,0.142584092,768.0
encoder.layer.7.output,Pereira2018-encoding,bert-base-uncased,0.388871608,0.107816802,768.0
encoder.layer.8.output,Pereira2018-encoding,bert-base-uncased,0.457261878,0.166104699,768.0
encoder.layer.9.output,Pereira2018-encoding,bert-base-uncased,0.532678335,0.127718508,768.0
encoder.layer.10.output,Pereira2018-encoding,bert-base-uncased,0.498916888,0.110370081,768.0
encoder.layer.11.output,Pereira2018-encoding,bert-base-uncased,0.571103345,0.072289164,768.0
embedding,Pereira2018-encoding,bert-base-uncased-untrained,-0.019182392,0.074356996,768.0
encoder.layer.0.output,Pereira2018-encoding,bert-base-uncased-untrained,0.031965714,0.036661513,768.0
encoder.layer.1.output,Pereira2018-encoding,bert-base-uncased-untrained,0.042907203,0.046577515,768.0
encoder.layer.2.output,Pereira2018-encoding,bert-base-uncased-untrained,0.049495178,0.040570217,768.0
encoder.layer.3.output,Pereira2018-encoding,bert-base-uncased-untrained,0.066082835,0.049217023,768.0
encoder.layer.4.output,Pereira2018-encoding,bert-base-uncased-untrained,0.12084746,0.063256889,768.0
encoder.layer.5.output,Pereira2018-encoding,bert-base-uncased-untrained,0.124181387,0.079809441,768.0
encoder.layer.6.output,Pereira2018-encoding,bert-base-uncased-untrained,0.109907508,0.051432828,768.0
encoder.layer.7.output,Pereira2018-encoding,bert-base-uncased-untrained,0.109285307,0.056890338,768.0
encoder.layer.8.output,Pereira2018-encoding,bert-base-uncased-untrained,0.116957193,0.035418234,768.0
encoder.layer.9.output,Pereira2018-encoding,bert-base-uncased-untrained,0.107500879,0.058835379,768.0
encoder.layer.10.output,Pereira2018-encoding,bert-base-uncased-untrained,0.107640796,0.085768981,768.0
encoder.layer.11.output,Pereira2018-encoding,bert-base-uncased-untrained,0.164552469,0.100710233,768.0
embedding,Pereira2018-encoding,bert-base-multilingual-cased,-0.001402311,0.023448409,768.0
encoder.layer.0.output,Pereira2018-encoding,bert-base-multilingual-cased,0.378844606,0.06235127,768.0
encoder.layer.1.output,Pereira2018-encoding,bert-base-multilingual-cased,0.403134965,0.073526586,768.0
encoder.layer.2.output,Pereira2018-encoding,bert-base-multilingual-cased,0.391378595,0.120230091,768.0
encoder.layer.3.output,Pereira2018-encoding,bert-base-multilingual-cased,0.418677761,0.0898564,768.0
encoder.layer.4.output,Pereira2018-encoding,bert-base-multilingual-cased,0.47053295,0.015636226,768.0
encoder.layer.5.output,Pereira2018-encoding,bert-base-multilingual-cased,0.398669588,0.071351423,768.0
encoder.layer.6.output,Pereira2018-encoding,bert-base-multilingual-cased,0.416266571,0.098352061,768.0
encoder.layer.7.output,Pereira2018-encoding,bert-base-multilingual-cased,0.435042043,0.155413945,768.0
encoder.layer.8.output,Pereira2018-encoding,bert-base-multilingual-cased,0.439609292,0.078509809,768.0
encoder.layer.9.output,Pereira2018-encoding,bert-base-multilingual-cased,0.466298335,0.140993875,768.0
encoder.layer.10.output,Pereira2018-encoding,bert-base-multilingual-cased,0.501127042,0.092283415,768.0
encoder.layer.11.output,Pereira2018-encoding,bert-base-multilingual-cased,0.517016765,0.136147121,768.0
embedding,Pereira2018-encoding,bert-base-multilingual-cased-untrained,0.02445838,0.047012011,768.0
encoder.layer.0.output,Pereira2018-encoding,bert-base-multilingual-cased-untrained,0.056788012,0.063535166,768.0
encoder.layer.1.output,Pereira2018-encoding,bert-base-multilingual-cased-untrained,0.055359335,0.075253503,768.0
encoder.layer.2.output,Pereira2018-encoding,bert-base-multilingual-cased-untrained,0.074947543,0.057744573,768.0
encoder.layer.3.output,Pereira2018-encoding,bert-base-multilingual-cased-untrained,0.100778968,0.040994435,768.0
encoder.layer.4.output,Pereira2018-encoding,bert-base-multilingual-cased-untrained,0.08164474,0.059439619,768.0
encoder.layer.5.output,Pereira2018-encoding,bert-base-multilingual-cased-untrained,0.079211377,0.057728165,768.0
encoder.layer.6.output,Pereira2018-encoding,bert-base-multilingual-cased-untrained,0.081969654,0.027591505,768.0
encoder.layer.7.output,Pereira2018-encoding,bert-base-multilingual-cased-untrained,0.116103735,0.04940407,768.0
encoder.layer.8.output,Pereira2018-encoding,bert-base-multilingual-cased-untrained,0.103233114,0.038044024,768.0
encoder.layer.9.output,Pereira2018-encoding,bert-base-multilingual-cased-untrained,0.077114578,0.041595506,768.0
encoder.layer.10.output,Pereira2018-encoding,bert-base-multilingual-cased-untrained,0.080673804,0.044574978,768.0
encoder.layer.11.output,Pereira2018-encoding,bert-base-multilingual-cased-untrained,0.089691922,0.084045326,768.0
embedding,Pereira2018-encoding,bert-large-uncased,0.015989293,0.093841508,1024.0
encoder.layer.0.output,Pereira2018-encoding,bert-large-uncased,0.303409127,0.156453694,1024.0
encoder.layer.1.output,Pereira2018-encoding,bert-large-uncased,0.405267318,0.052706053,1024.0
encoder.layer.2.output,Pereira2018-encoding,bert-large-uncased,0.448615586,0.111123187,1024.0
encoder.layer.3.output,Pereira2018-encoding,bert-large-uncased,0.528024292,0.12239998,1024.0
encoder.layer.4.output,Pereira2018-encoding,bert-large-uncased,0.565986988,0.114568875,1024.0
encoder.layer.5.output,Pereira2018-encoding,bert-large-uncased,0.589002757,0.115321132,1024.0
encoder.layer.6.output,Pereira2018-encoding,bert-large-uncased,0.643810413,0.095155568,1024.0
encoder.layer.7.output,Pereira2018-encoding,bert-large-uncased,0.724263439,0.070803445,1024.0
encoder.layer.8.output,Pereira2018-encoding,bert-large-uncased,0.664221752,0.065279059,1024.0
encoder.layer.9.output,Pereira2018-encoding,bert-large-uncased,0.638930422,0.082136235,1024.0
encoder.layer.10.output,Pereira2018-encoding,bert-large-uncased,0.579220031,0.093908127,1024.0
encoder.layer.11.output,Pereira2018-encoding,bert-large-uncased,0.519966029,0.133939692,1024.0
encoder.layer.12.output,Pereira2018-encoding,bert-large-uncased,0.504610749,0.104139139,1024.0
encoder.layer.13.output,Pereira2018-encoding,bert-large-uncased,0.4253254,0.174873832,1024.0
encoder.layer.14.output,Pereira2018-encoding,bert-large-uncased,0.361420269,0.118594861,1024.0
encoder.layer.15.output,Pereira2018-encoding,bert-large-uncased,0.415536848,0.178356678,1024.0
encoder.layer.16.output,Pereira2018-encoding,bert-large-uncased,0.512576062,0.127742099,1024.0
encoder.layer.17.output,Pereira2018-encoding,bert-large-uncased,0.55280922,0.164713244,1024.0
encoder.layer.18.output,Pereira2018-encoding,bert-large-uncased,0.534326687,0.186718451,1024.0
encoder.layer.19.output,Pereira2018-encoding,bert-large-uncased,0.551416781,0.08548269,1024.0
encoder.layer.20.output,Pereira2018-encoding,bert-large-uncased,0.579253006,0.061930777,1024.0
encoder.layer.21.output,Pereira2018-encoding,bert-large-uncased,0.56930557,0.063351892,1024.0
encoder.layer.22.output,Pereira2018-encoding,bert-large-uncased,0.566688478,0.066288239,1024.0
encoder.layer.23.output,Pereira2018-encoding,bert-large-uncased,0.554111876,0.077129992,1024.0
embedding,Pereira2018-encoding,bert-large-uncased-untrained,0.011242533,0.096921668,1024.0
encoder.layer.0.output,Pereira2018-encoding,bert-large-uncased-untrained,0.085595524,0.070943473,1024.0
encoder.layer.1.output,Pereira2018-encoding,bert-large-uncased-untrained,0.044367984,0.060341394,1024.0
encoder.layer.2.output,Pereira2018-encoding,bert-large-uncased-untrained,0.088485355,0.06139336,1024.0
encoder.layer.3.output,Pereira2018-encoding,bert-large-uncased-untrained,0.128222947,0.061613737,1024.0
encoder.layer.4.output,Pereira2018-encoding,bert-large-uncased-untrained,0.13980016,0.058117978,1024.0
encoder.layer.5.output,Pereira2018-encoding,bert-large-uncased-untrained,0.171493735,0.096910256,1024.0
encoder.layer.6.output,Pereira2018-encoding,bert-large-uncased-untrained,0.138162104,0.041025162,1024.0
encoder.layer.7.output,Pereira2018-encoding,bert-large-uncased-untrained,0.152397916,0.063809759,1024.0
encoder.layer.8.output,Pereira2018-encoding,bert-large-uncased-untrained,0.172876678,0.083578571,1024.0
encoder.layer.9.output,Pereira2018-encoding,bert-large-uncased-untrained,0.158584638,0.045549976,1024.0
encoder.layer.10.output,Pereira2018-encoding,bert-large-uncased-untrained,0.149599116,0.034241006,1024.0
encoder.layer.11.output,Pereira2018-encoding,bert-large-uncased-untrained,0.118047673,0.045196587,1024.0
encoder.layer.12.output,Pereira2018-encoding,bert-large-uncased-untrained,0.169657292,0.071455475,1024.0
encoder.layer.13.output,Pereira2018-encoding,bert-large-uncased-untrained,0.166270536,0.107372516,1024.0
encoder.layer.14.output,Pereira2018-encoding,bert-large-uncased-untrained,0.164377047,0.090664924,1024.0
encoder.layer.15.output,Pereira2018-encoding,bert-large-uncased-untrained,0.219756645,0.107788046,1024.0
encoder.layer.16.output,Pereira2018-encoding,bert-large-uncased-untrained,0.224307736,0.098213507,1024.0
encoder.layer.17.output,Pereira2018-encoding,bert-large-uncased-untrained,0.236965851,0.089769733,1024.0
