x,y,n,pearson_r,ci_low_95,ci_high_95,p_two_sided,q_fdr_bh
behavior_language,Futrell2018-pearsonr,10,1.0,1.0,1.0,0,0.0
neural,Pereira2018_linear,13,1.0,1.0,1.0,0,0.0
Pereira2018_linear,Pereira2018.243sentences-linear,13,0.995,0.982,0.998,3.27e-12,1.715261266355128e-11
neural,Pereira2018.243sentences-linear,13,0.995,0.982,0.998,3.27e-12,1.715261266355128e-11
Pereira2018_linear,Pereira2018.384sentences-linear,13,0.993,0.978,0.998,1.02e-11,3.5763947359157555e-11
neural,Pereira2018.384sentences-linear,13,0.993,0.978,0.998,1.02e-11,3.5763947359157555e-11
average_language,Pereira2018.243sentences-linear,13,0.991,0.969,0.997,5.88e-11,1.7644086192092345e-10
average_language,Pereira2018_linear,13,0.99,0.965,0.997,1.14e-10,2.660174303059648e-10
neural,average_language,13,0.99,0.965,0.997,1.14e-10,2.660174303059648e-10
Pereira2018.243sentences-linear,Pereira2018.384sentences-linear,13,0.976,0.921,0.993,1.14e-08,2.1900956563443555e-08
average_language,Pereira2018.384sentences-linear,13,0.976,0.921,0.993,1.15e-08,2.1900956563443555e-08
average_language,Futrell2018-pearsonr,10,0.244,-0.456,0.757,0.497,0.8030022586762106
average_language,behavior_language,10,0.244,-0.456,0.757,0.497,0.8030022586762106
Pereira2018.243sentences-linear,Futrell2018-pearsonr,10,0.037,-0.606,0.652,0.918,0.9878665662744419
Pereira2018.243sentences-linear,behavior_language,10,0.037,-0.606,0.652,0.918,0.9878665662744419
Pereira2018_linear,Futrell2018-pearsonr,10,0.015,-0.62,0.639,0.967,0.9878665662744419
Pereira2018_linear,behavior_language,10,0.015,-0.62,0.639,0.967,0.9878665662744419
neural,Futrell2018-pearsonr,10,0.015,-0.62,0.639,0.967,0.9878665662744419
neural,behavior_language,10,0.015,-0.62,0.639,0.967,0.9878665662744419
Pereira2018.384sentences-linear,Futrell2018-pearsonr,10,-0.006,-0.633,0.626,0.988,0.9878665662744419
Pereira2018.384sentences-linear,behavior_language,10,-0.006,-0.633,0.626,0.988,0.9878665662744419
